# z 	 DM_ext
0.012496	47.098047
0.443842	337.476664
0.026068	51.387507
0.064164	116.995448
0.175726	94.879809
0.051018	65.472939
0.403453	176.373181
0.121893	18.854090
0.198200	351.864890
0.139092	205.493206
0.224039	340.693470
0.513959	356.387041
0.140377	118.597376
0.268851	258.349768
0.126009	188.313533
0.038763	62.111543
0.199397	242.320503
0.046523	32.130247
0.114933	123.182498
0.011502	36.043773
0.182139	192.049588
0.131539	106.917401
0.173478	169.503359
0.178359	268.289835
0.241840	138.436613
0.278371	315.066687
0.605239	997.592686
0.271602	234.878225
0.108893	17.919024
0.111467	165.483951
0.046192	24.793213
0.127071	72.886414
0.198170	50.618797
0.234528	133.325676
0.281762	452.257299
0.036750	72.368320
0.080077	85.789344
0.128045	277.135107
0.020612	37.236665
0.228609	220.332203
0.064721	20.326900
0.029939	59.251752
0.344971	300.285598
0.128478	123.070212
0.208535	152.319459
0.030772	8.548906
0.312147	442.958823
0.251831	128.618689
0.165963	191.774341
0.304571	58.973469
0.080443	116.222368
0.102058	100.739967
0.097670	136.314958
0.013573	18.920865
0.122191	82.887593
0.152191	85.690714
0.073689	114.679851
0.128694	52.102342
0.138878	178.434585
0.287933	142.602704
0.302011	547.747760
0.546707	525.279940
0.080975	58.855630
0.426013	170.700236
0.363333	298.305770
0.025761	70.688177
0.388830	225.354067
0.025944	58.999230
0.170697	164.339479
0.451848	654.071743
0.003505	9.530839
0.261017	674.789254
0.031009	16.064162
0.557879	736.590952
0.352813	143.490171
0.017805	30.598195
0.087936	134.083120
0.482315	480.143861
0.214503	250.949706
0.297140	579.539941
0.101707	201.810062
0.368350	318.999731
0.038571	70.371208
0.094806	18.014456
0.214855	207.486268
0.125834	164.113528
0.209887	310.835672
0.254544	435.169603
0.126619	127.182337
0.076093	199.915202
0.170367	222.703327
0.023737	14.327850
0.066050	64.049250
0.106371	125.341108
0.155767	151.824122
0.522687	315.395034
0.009705	34.341014
0.161510	71.567503
0.296214	525.594926
0.118460	237.348958
0.079991	95.525811
0.138852	45.689290
0.082403	116.281393
0.041786	87.534824
0.057290	146.791462
0.058746	23.261143
0.190726	257.141302
0.130728	155.427635
0.044762	36.411949
0.601446	381.652806
0.280922	420.395622
0.314720	267.339361
0.532619	1300.500570
0.083126	199.176955
0.544262	604.926198
0.208468	266.640210
0.411028	255.634705
0.155659	297.569915
0.085488	98.227450
0.310980	332.579690
0.035216	92.638107
0.278665	21.687212
0.015421	31.416606
0.053599	88.574398
0.123318	56.426681
0.324956	115.023107
0.063318	112.704393
0.236751	313.781823
0.129245	106.384750
0.391512	622.148185
0.046188	43.044642
0.102861	128.890898
0.466556	320.181766
0.039269	25.577800
0.268680	245.346849
0.006595	14.457256
0.502794	653.329170
0.054373	64.421118
0.062057	52.023759
0.022767	42.343447
0.250222	217.532020
0.173343	109.734529
0.043241	118.088477
0.142937	174.550603
0.384381	273.886467
0.463525	553.971510
0.059764	149.550148
0.048163	105.905349
0.009533	35.683354
0.203565	225.451736
0.106404	183.753831
0.495015	622.267321
0.464883	607.484640
0.244420	302.428358
0.027370	24.754103
0.023846	14.453932
0.044908	139.369394
0.027330	83.058979
0.261416	392.845522
0.098972	95.038220
0.075598	32.897073
0.129511	113.929683
0.153804	228.196264
0.067417	67.754488
0.103961	189.743121
0.286911	376.195415
0.336707	402.937415
0.026549	75.437646
0.117530	251.174506
0.542522	677.779120
0.553406	411.880308
0.496908	797.004442
0.220554	150.503819
0.110325	104.716840
0.003183	24.728619
0.037113	23.144995
0.132316	225.051504
0.296235	340.516940
0.240786	304.374270
0.024009	94.588402
0.081792	161.744885
0.515648	427.835725
0.116512	46.016631
0.243939	502.535194
0.206787	243.592633
0.147406	77.345259
0.111777	156.659098
0.091877	17.802293
0.343914	230.948911
0.142650	213.781598
0.132974	134.929504
0.419326	375.956525
0.308750	382.460552
0.207621	388.018239
0.059221	108.939794
0.099416	106.569375
0.127889	179.129338
0.020234	43.271576
0.077861	160.704441
0.148354	132.369638
0.253314	117.882327
0.243181	318.545999
0.008745	8.742335
0.092340	104.594386
0.049944	67.422904
0.005296	27.853986
0.121026	126.420720
0.076614	183.380424
0.143012	274.836438
0.245419	145.938718
0.205621	384.361193
0.167529	205.444377
0.496154	352.889073
0.032582	55.094273
0.202453	123.775287
0.058192	84.659789
0.105729	236.320988
0.315684	382.552798
0.104564	187.108431
0.371990	269.920582
0.060681	62.253533
0.030672	105.922512
0.178576	160.046882
0.187009	226.172198
0.096912	114.112996
0.263363	38.438411
0.003282	18.646540
0.038801	17.535778
0.218248	292.277350
0.109584	220.785369
0.064375	123.660126
0.164673	270.978467
0.347195	454.676986
0.203496	193.957428
0.297373	526.250196
0.214076	394.857098
0.431025	411.466874
0.077465	146.050776
0.367763	371.412959
0.010281	18.620869
0.025864	23.110915
0.257860	183.146604
0.023337	55.173417
0.097096	126.444383
0.425351	634.245706
0.031794	72.105966
0.322169	268.966100
0.091363	50.799758
0.027514	51.714578
0.141273	306.032141
0.400799	591.713952
0.022063	60.334115
0.019932	46.330483
0.249968	282.240346
0.072663	46.575343
0.187183	165.672224
0.345881	383.632772
0.180697	147.208851
0.023059	47.847449
0.043485	47.972771
0.052652	31.650584
0.226801	334.111650
0.135891	215.477904
0.006288	18.650769
0.270307	575.229157
0.030960	41.901163
0.038894	68.550842
0.061473	169.864757
0.118848	74.520844
0.034960	89.642655
0.420622	530.807791
0.564758	392.294395
0.156112	213.437612
0.127953	260.566587
0.008413	19.228737
0.026568	62.017940
0.001926	9.135439
0.065482	43.027134
0.082102	131.984124
0.246812	329.933649
0.157869	336.771807
0.048406	64.816642
0.259751	197.123981
0.272609	179.865977
