# z	DM_HG
0.900944	10.134498
0.802934	4.248285
1.746271	428.540066
1.965697	33.197553
1.616425	8.110446
1.720807	60.685171
1.414657	34.768812
1.278349	34.463854
1.565696	9.495392
0.358549	18.881710
0.446614	14.453276
1.514222	6.839347
0.983459	12.738485
1.218766	13.426601
1.657137	43.598309
1.350263	5.331166
1.692682	66.340751
1.113740	55.847312
0.906679	48.472985
0.817958	5.172315
0.621519	5.485110
0.362641	29.568652
0.420769	73.549189
0.879495	31.716569
0.891818	39.513322
1.056472	6.623634
1.371738	24.467981
1.622656	38.893735
0.751655	40.128404
1.622578	61.963997
0.636995	34.116203
1.981582	34.089109
0.902750	6.304384
1.742022	69.882040
0.738263	25.840743
1.920178	77.887032
1.725502	36.820895
1.021699	4.080985
1.117264	1.698201
0.155135	1.871412
0.846515	7.022336
0.909753	28.710128
1.164585	12.542205
0.637122	30.695566
1.203694	4.127322
1.486112	49.866627
1.040213	75.606934
0.813357	18.595964
1.306522	12.654858
0.330079	10.019449
0.992578	75.281684
1.276585	59.689171
0.984683	50.286406
0.999819	13.758338
1.758985	39.490408
1.893576	9.458523
1.726682	7.296872
0.547079	15.375283
0.910484	7.095474
1.550236	3.972098
1.958401	46.145587
0.830841	23.399302
1.836927	53.782550
1.591975	42.120812
1.973068	5.825040
0.534146	15.541892
1.076431	23.631512
1.202717	2.049115
1.491509	28.057075
1.464484	11.166948
1.849746	43.772879
1.744090	39.988216
0.427919	84.631766
1.215334	31.123387
1.095297	11.169126
1.995341	40.732560
1.126055	2.640607
1.507258	34.962241
0.901755	18.398955
1.405928	8.605468
0.767943	23.823114
1.389549	84.689803
1.789907	68.785354
0.281549	4.856842
1.242301	2.659878
1.971317	15.848465
0.678325	3.410812
0.725044	22.549093
1.191781	10.074269
1.794278	54.092644
1.328876	41.926807
1.248451	14.197595
0.516927	26.795991
1.938392	51.371776
1.002469	21.392615
0.847154	1.597294
1.102448	55.116683
1.106166	48.634468
1.173311	24.336345
1.516115	43.107455
1.789527	10.082359
0.434042	16.779943
1.221659	5.423875
1.105855	42.907035
0.227054	11.724637
1.709907	40.286843
0.560097	26.443164
0.584239	4.159683
0.404627	5.347579
0.756636	6.103663
0.712519	35.653146
1.003648	17.382202
1.472385	20.505658
0.424470	36.462181
1.777583	34.149708
0.969971	51.415465
1.394007	30.034281
0.235550	35.710856
1.031705	36.263933
0.124061	11.725647
0.690546	9.066750
1.157214	11.407782
1.287742	31.137782
0.665644	32.465282
1.601341	13.187040
0.735537	10.511746
0.586721	14.192684
0.980851	19.332271
1.312040	20.443990
1.981920	83.650077
1.113071	66.530240
1.124139	49.914456
0.440310	3.648169
1.632545	30.976113
0.721966	9.424133
1.600717	57.248902
1.856491	68.806751
1.636191	44.274961
1.447322	4.824379
1.390009	70.109091
1.165932	4.347498
0.648538	9.465243
1.652334	45.741854
1.201528	59.306695
1.422309	23.079695
1.044452	12.829716
0.757187	17.508213
1.694592	10.991366
0.995043	9.560483
1.787553	6.946014
1.944412	26.210562
1.730683	7.501148
0.613891	5.677117
1.769401	18.652486
1.264326	37.338053
0.829341	13.415190
0.533080	14.904033
0.891979	19.150084
0.633715	19.749817
0.314580	3.882167
1.980072	105.649674
1.733079	34.380569
1.591875	11.293355
0.742996	256.910073
0.324352	5.753860
1.213334	32.751699
1.596020	26.491406
1.939762	76.835847
1.752150	12.297090
1.829523	52.028455
0.824594	36.212146
0.670467	22.872412
0.840283	5.497873
0.636136	34.340815
1.682307	31.005186
1.844538	43.250688
0.939118	34.871751
